Title,Release Year,Rating,Genre,Country
Cannabis,2016,6.8,Crime| Drama| Thriller,France
DinoZaurs,2000,6.0,Action| Adventure| Animation,Japan
Britannia,2018,6.7,Action| Drama| Fantasy,UK
Wilder,2017,7.5,Crime,Switzerland
Dinosaurs,1991,7.4,Comedy| Family| Fantasy,USA
Oliver's Twist,2002,7.4,Family,UK
Lineman,1972,8.4,Animation| Short| Comedy,Italy
Long Way Up,2020,8.5,Documentary| Adventure| Reality-TV,UK
Jedi Camp,2012,7.1,Family| Sci-Fi,USA
The Planners,2013,6.8,Documentary,UK
Match Game,1973,8.3,Comedy| Game-Show,USA
Everwood,2002,7.4,Drama,USA
Apple's Way,1974,6.8,Drama| Family,USA
Line of Duty,2012,8.7,Crime| Drama| Mystery| Thriller,UK
Joan & Melissa: Joan Knows Best?,2011,6.2,Comedy| Reality-TV,USA
Captain Mack,2008,6.5,Family| Sci-Fi,UK
Strut,2016,6.0,Reality-TV,USA
Planetes,2003,8.2,Animation| Drama| Sci-Fi,Japan
The Great Heist,2020,7.4,Crime| Drama| Thriller,Colombia
Great Cars,2003,8.4,Documentary,USA
The Oz Kids,1996,7.0,Animation| Fantasy,USA
DearS,2004,6.4,Animation| Comedy| Drama| Romance| Sci-Fi,USA
Flipper & Lopaka: The Search for Neptune's Trident,2005,7.2,Animation,Australia
The Larry Sanders Show,1992,8.4,Comedy,USA
Cosby,1996,6.4,Comedy,USA
The Movies,2019,7.8,Documentary,USA
Flinch,2019,4.2,Game-Show,UK
Married... with Children,1987,8.0,Comedy,USA
Quantum Leap,1989,8.1,Action| Adventure| Drama| Mystery| Sci-Fi,USA
Homicide: Life on the Street,1993,8.5,Crime| Drama| Mystery| Thriller,USA
The Real Ghostbusters,1986,7.6,Animation| Action| Comedy| Family| Fantasy| Sci-Fi,USA
Partners,2012,6.4,Comedy| Romance,USA
Avengers Assemble,2013,7.0,Animation| Action| Adventure| Sci-Fi,USA
Gruey,1988,7.9,Comedy| Family,UK
Father Ted,1995,8.6,Comedy,UK
DEA,1990,7.3,Drama,USA
Cleaning Up,2019,6.1,Crime| Drama,UK
Dance Plus,2015,7.6,Reality-TV,India
The Ave,2015,7.0,Drama,USA
Flipper & Lopaka,1999,6.4,Animation| Adventure| Comedy,Australia
My Wife and Kids,2001,6.8,Comedy| Family,USA
The Tempestt Bledsoe Show,1994,4.9,Talk-Show,USA
Undeclared,2001,7.9,Comedy,USA
Ally,1999,5.6,Comedy| Drama| Fantasy,USA
Trigun,2003,8.3,Animation| Action| Comedy| Drama| Sci-Fi,Japan
Murphy Brown,1988,6.8,Comedy,USA
Ricky Zoom,2019,7.0,Animation| Family,China
Wallace & Gromit's Cracking Contraptions,2002,7.6,Animation| Short| Comedy| Family,UK
The Widow,2019,6.9,Drama| Mystery| Thriller,UK
Ally McBeal,1997,6.8,Comedy| Drama| Fantasy| Music| Romance,USA
Stath Lets Flats,2018,5.3,Comedy,UK
Morph,2014,7.1,Animation,UK
Striking Out,2017,7.7,Drama,Ireland
SuperMansion,2015,7.5,Animation| Comedy,USA
Enemies: The President Justice & The FBI,2018,6.8,Documentary,USA
Endeavour,2012,8.6,Crime| Drama| Mystery,UK
Flipped Off,2012,5.9,Reality-TV,USA
Sarge,1971,7.4,Drama,USA
Flip,1970,7.3,Comedy| Music,USA
Cursed Films,2020,7.1,Documentary| Horror,Canada
The Bill Cosby Show,1969,6.3,Comedy,USA
Ryan's Four,1983,7.1,Drama,USA
Last Chance U,2016,8.5,Documentary| Sport,USA
Day Break,2006,8.0,Action| Drama| Sci-Fi| Thriller,USA
B.A.B.S.,2017,7.3,Comedy| Drama,Netherlands
The Black Donnellys,2007,8.1,Crime| Drama,USA
Blake's 7,1978,8.0,Adventure| Drama| Sci-Fi,UK
The Lair,2007,5.0,Drama| Horror| Mystery| Romance,USA
Flock,2011,7.2,Drama,USA
The Muppet Show,1976,8.4,Comedy| Family| Music,USA
Fi,2017,7.9,Drama| Romance,Turkey
Félix,2018,7.1,Romance| Thriller,Spain
Pesma,1975,8.3,Drama,Yugoslavia
The Ghost Busters,1975,7.4,Comedy| Family| Fantasy| Sci-Fi,USA
Baby Dance,2008,3.3,Game-Show,Greece
The Cosby Show,1984,7.3,Comedy| Family| Romance,USA
Cuts,2005,5.9,Comedy,USA
Homemade,2020,6.0,Drama,Chile
Greyzone,2018,7.4,Drama| Thriller,Denmark
Onder de tram,2006,7.9,Comedy| Talk-Show,Netherlands
Lime Street,1985,6.1,Drama,USA
Logan High,2018,7.9,Drama,UK
Avengers Assemble!,2010,6.5,Comedy,USA
Blood Light,2010,8.9,Comedy,USA
Sergeant Cork,1963,7.8,Crime,UK
Love Lies and Records,2017,7.0,Drama,UK
The Avengers: Earth's Mightiest Heroes,2010,8.3,Animation| Action| Family| Sci-Fi,USA
The Royle Family,1998,8.1,Comedy,UK
Limetown,2019,6.5,Crime| Mystery| Sci-Fi| Thriller,USA
CSI: Miami,2002,6.4,Action| Crime| Drama| Mystery| Thriller,USA
Eyewitness,2016,7.7,Crime| Mystery| Romance| Thriller,USA
Building Wild,2014,7.2,Reality-TV,USA
The Adventures of Lano & Woodley,1997,8.5,Comedy,Australia
I Claudius,1977,8.7,Biography| Drama| History,UK
Julianus barát,1991,4.6,Drama| History,Italy
Lumina,2009,8.2,Drama,Hong Kong
Pyros,2012,6.5,Documentary,USA
Three Busy Debras,2020,5.2,Comedy,USA
Secret Mother,2018,7.8,Drama| Mystery,South Korea
Secret City,2016,7.4,Mystery| Thriller,Australia
Ilumina,2010,8.5,Action| Adventure| Fantasy,Philippines
Green Frontier,2019,7.3,Crime| Thriller,Colombia
Buddi,2020,7.6,Animation,UK
Body & Soul,1993,8.3,Drama,UK
Flowers,2016,8.2,Comedy| Drama,UK
Hot in Cleveland,2010,7.2,Comedy,USA
My Mad Fat Diary,2013,8.4,Comedy| Drama| Romance,UK
The City,2008,5.1,Reality-TV,USA
Everybody Loves Raymond,1996,7.1,Comedy,USA
The Powerpuff Girls,1994,7.2,Animation| Action| Adventure| Comedy| Family| Fantasy| Sci-Fi,USA
Debra,2011,6.2,Family,Canada
Axel!,2002,4.4,Comedy,Germany
Cher,1975,7.5,Comedy| Music,USA
Lois & Clark: The New Adventures of Superman,1993,6.7,Adventure| Comedy| Drama| Romance| Sci-Fi,USA
Cherish the Day,2020,5.9,Drama| Romance,USA
Lucky Louie,2006,7.9,Comedy,USA
Alternatino,2015,7.6,Comedy,USA
Gerbert,1989,6.8,Family,USA
Reaper,2007,7.7,Adventure| Comedy| Drama| Fantasy| Thriller,USA
Boston Legal,2004,8.4,Comedy| Crime| Drama,USA
There's... Johnny!,2017,7.2,Comedy,USA
Vice News Tonight,2016,8.2,News,USA
The Wonder Years,1988,8.3,Comedy| Drama| Family| Romance,USA
Ultimate Tag,2020,4.8,Reality-TV,USA
Jamestown,2017,6.9,Drama| History,UK
Alternatino with Arturo Castro,2019,7.5,Comedy,USA
Vamos Juan,2020,7.0,Comedy,Spain
Prospects,1986,8.5,Comedy| Drama,UK
My Name Is Earl,2005,7.7,Comedy,USA
Beverly Hills 90210,1990,6.3,Drama| Romance,USA
Bobcat Goldthwait's Misfits & Monsters,2018,6.7,Comedy| Drama| Fantasy| Horror| Sci-Fi| Thriller,USA
World's Toughest Race: Eco-Challenge Fiji,2020,7.5,Adventure| Reality-TV,USA
The Clinton Affair,2018,8.1,Documentary,USA
Palace Hill,1988,5.9,Comedy,UK
C,2011,6.7,Animation| Action| Fantasy| Mystery| Sci-Fi,Japan
The Flintstone Kids,1986,5.9,Animation| Comedy| Family,USA
Alfred Hitchcock Presents,1955,8.5,Comedy| Crime| Drama| Horror| Mystery| Thriller,USA
Achar!,2004,7.4,Comedy,Singapore
The Spa,2013,6.3,Comedy,UK
Drawn Together,2004,7.0,Animation| Comedy| Reality-TV,USA
